ANT1	89.12	57.09	359.70	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	77.60	56.03	270.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	68.59	64.77	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	58.17	67.13	180.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	76.56	57.56	178.50	100pF	NORDIC_NRF_3_RESC0201_L
C12	70.42	59.00	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	75.16	57.58	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	70.40	59.91	359.10	4.7µF	NORDIC_NRF_3_RESC0201_L
C15	58.06	66.14	180.00	1.0µF	NORDIC_NRF_3_RESC0201_L
C16	58.02	68.28	180.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	79.46	69.02	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	83.60	71.38	88.70	12pF	NORDIC_NRF_3_RESC0201_L
C19	64.46	53.63	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	83.71	61.24	178.90	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	54.57	71.37	0.00	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	71.38	49.40	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C21	49.13	46.28	90.50	4.7µF	NORDIC_NRF_3_RESC0201_L
C22	80.85	56.60	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	85.75	58.96	180.00	0.1uF	GRM011R60J152KE01L_1_0201
C24	85.04	58.93	90.00	10uF	NORDIC_NRF_3_RESC0201_L
C25	89.59	63.27	270.00	22uF	NORDIC_NRF_3_RESC0201_L
C27	53.86	43.24	269.00	0.1uF	GRM011R60J152KE01L_1_0201
C29	77.77	42.88	180.00	1uF	GRM011R60J152KE01L_1_0201
C3	77.58	53.75	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	72.61	48.88	179.60	1uF	GRM011R60J152KE01L_1_0201
C31	71.41	47.64	90.00	1uF	GRM011R60J152KE01L_1_0201
C32	63.07	58.35	89.30	1uF	GRM011R60J152KE01L_1_0201
C33	90.41	63.16	270.90	22uF	NORDIC_NRF_3_RESC0201_L
C34	77.04	41.08	90.20	0.1uF	GRM011R60J152KE01L_1_0201
C37	53.79	42.14	270.10	1uF	GRM011R60J152KE01L_1_0201
C38	75.78	64.76	89.50	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C39	88.50	68.85	178.90	10uF	NORDIC_NRF_3_RESC0201_L
C4	77.59	54.87	90.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	76.81	64.82	0.00	0.1uF	GRM011R60J152KE01L_1_0201
C43	49.01	44.51	180.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C5	69.42	55.16	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	62.18	42.48	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C7	61.23	43.82	93.10	100nF	NORDIC_NRF_3_RESC0201_L
C8	70.39	60.92	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	77.79	52.84	0.00	820pF	NORDIC_NRF_3_RESC0201_L
D2	54.52	69.15	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	73.17	60.66	270.00	USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	50.14	66.58	90.80	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	54.53	65.58	180.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	59.84	61.29	90.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C10	59.88	51.43	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C11	59.90	50.45	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C12	59.90	49.49	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C2	59.81	62.62	90.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C5	61.83	57.04	270.00	0.1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C6	59.83	54.47	0.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C7	59.89	53.51	0.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C8	60.02	52.54	0.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C9	59.75	67.84	270.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
IC1	51.17	45.36	359.60	BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	64.21	56.00	0.00	DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3	65.64	50.08	89.10	BMA421	BMA423_BMA423
IC9	88.30	66.10	0.00	RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J1	56.44	55.65	270.00	503480-2400	503480-2400_5034802400
J2	85.19	50.02	0.00	TC2030-IDC	TC2030-IDC_TC2030IDC
J4	73.10	68.71	180.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	78.55	54.23	88.60	3.9nH	NORDIC_NRF_2_RESC0402_L
L2	68.50	57.03	181.00	10µH	NORDIC_NRF_2_RESC0402_L
L3	68.50	58.09	0.00	15nH	NORDIC_NRF_2_RESC0402_L
L5	64.84	66.86	0.00	68uH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7	89.04	60.87	0.00	FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q1	67.98	61.50	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3	59.76	70.23	180.60	SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	85.94	64.85	271.80	3K3	CPF0201D7K68C1_0201
R18	63.25	53.59	269.50	3K3	CPF0201D7K68C1_0201
R1_EP_DR	63.09	70.24	270.00	0.47	CPF0201D7K68C1_0201
R1_USB	74.61	65.11	272.70	5K1	CPF0201D7K68C1_0201
R2	66.73	57.13	88.50	0	CPF0201D7K68C1_0201
R2_EP_DR	60.80	68.06	180.00	10K	CPF0201D7K68C1_0201
R2_USB	71.39	65.04	89.20	5K1	CPF0201D7K68C1_0201
R3	68.63	49.08	179.50	0	CPF0201D7K68C1_0201
R4	85.94	65.56	89.20	0	CPF0201D7K68C1_0201
R5	57.32	44.26	90.80	10k	CPF0201D7K68C1_0201
R7	78.33	51.82	90.20	10k	CPF0201D7K68C1_0201
R8	72.76	47.66	90.00	10k	CPF0201D7K68C1_0201
R9	52.44	42.84	270.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	77.74	50.45	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	63.37	71.34	0.00	2.2	CPF0201D7K68C1_0201
SJ1	65.61	70.78	180.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	80.36	42.34	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	69.57	42.33	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	58.23	42.35	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	74.45	40.46	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	63.73	40.71	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	75.51	45.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	86.04	70.24	312.80	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	67.43	55.06	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	64.88	59.05	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	88.38	43.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	50.54	42.38	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	54.28	45.18	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	85.76	42.70	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
