ANT1	-16.51	88.90	0.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	-19.05	91.44	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-34.29	142.24	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	-13.97	91.44	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	-13.97	92.71	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	-11.43	91.44	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	-11.43	92.71	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	-19.05	93.98	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C15	-13.97	93.98	0.00	1.0µF	NORDIC_NRF_3_RESC0201_L
C16	-11.43	93.98	0.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	-29.21	87.63	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	-29.21	88.90	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	-10.16	86.36	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	-19.05	92.71	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-44.45	142.24	0.00	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	-31.75	88.90	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C21	-29.21	95.25	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C22	-29.21	96.52	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	-50.80	83.82	0.00	0.1uF	GRM011R60J152KE01L_1_0201
C24	-50.80	86.36	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C25	-48.26	80.01	0.00	22uF	NORDIC_NRF_3_RESC0201_L
C27	-113.03	165.10	0.00	0.1uF	GRM011R60J152KE01L_1_0201
C29	-115.57	165.10	0.00	1uF	GRM011R60J152KE01L_1_0201
C3	-29.21	92.71	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	-118.11	165.10	0.00	1uF	GRM011R60J152KE01L_1_0201
C31	-120.65	165.10	0.00	1uF	GRM011R60J152KE01L_1_0201
C32	-123.19	165.10	0.00	1uF	GRM011R60J152KE01L_1_0201
C33	-45.72	80.01	0.00	22uF	NORDIC_NRF_3_RESC0201_L
C34	-125.73	165.10	0.00	0.1uF	GRM011R60J152KE01L_1_0201
C37	-45.72	110.49	0.00	1uF	GRM011R60J152KE01L_1_0201
